Name des Standortes,Nummere des Standortes,Flotten Stadt,VehicleType_Name,Kennzeichen,Flotten Referenz,Letzte Job datum,Letzte Auftragsnummer,Position,Seriennummer ,IPC,Größe,Reifenmuster,Marken,New / Retreat,RTD gemessenes Datum,RTD1,MeasuredPressure,LastOdoMeterReading,,,
,,,,,,,,1R1,h2t8603564,10852,"385/65 R22,5",DURT2,Bridgestone,New,23.11.2022,15.7,9.0,,,,
,,,,,,,,3L1,g2t780213,10852,"385/65 R22,5",DURT2,Bridgestone,New,09.08.2022,15.7,9.0,,,,
,,,,,,,,3R1,h2t860391,10852,"385/65 R22,5",DURT2,Bridgestone,New,23.11.2022,15.7,,,,,
,,,,WL-JM842,1754,07.12.2022,2845252,1R1,H7T156947,10852,"385/65 R22,5",DURT2,Bridgestone,New,07.12.2022,15.7,,,,,
,,,,,,,,3L1,H7T114475,10852,"385/65 R22,5",DURT2,Bridgestone,New,07.12.2022,15.7,,,,,
,,,,WL-JM1024,1644,14.03.2023,3050180,1R1,o2e218522,17982,"385/65 R22,5",R179,Bridgestone,New,14.03.2023,16.5,9.0,,,,
,,,,,,,,3L1,FU/Regiontonn/1979528215,1534649,"385/65 R22,5",TRAILER,Non Firestone,New,10.08.2022,15.0,,,,,
,,Bremen,Rigid,WL-JM1285,1463,,,,,,,,,New,,,,,,,
,,,,WL-JM1360,1040,01.08.2022,2591790,1L1,H7T127990,16944,"315/70 R22,5",DURS2,Bridgestone,New,01.08.2022,13.1,8.5,,,,
,,,,,,,,1R1,H7T166469,16944,"315/70 R22,5",DURS2,Bridgestone,New,01.08.2022,13.1,8.5,,,,
,,,,WL-JM1386,1061,,,,,,,,,New,,,,,,,
,,,,WL-JM1420,1086,,,,,,,,,New,,,,,,,
,,,,WL-JM1430,1094,29.07.2022,2591214,1R1,G7T415447,16944,"315/70 R22,5",DURS2,Bridgestone,New,29.07.2022,13.1,8.5,,,,
,,,,WL-JM1460,10043,,,,,,,,,New,,,,,,,
,,,,WL-JM1463,10046,,,,,,,,,New,,,,,,,
,,,Semi Trailer,D-AL6330,TT063,06.03.2023,2978502,1L1,,1536646,365/80 R20,TRAILER,Non Firestone,New,19.08.2022,6.0,9.0,,,,
,,,,,,,,1R1,2909462179,1536646,365/80 R20,TRAILER,Non Firestone,New,07.11.2022,14.0,9.0,,,,
,,,,,,,,2L1,,1536646,365/80 R20,TRAILER,Non Firestone,New,19.08.2022,11.0,9.0,,,,
,,,,,,,,2R1,,1536646,365/80 R20,TRAILER,Non Firestone,New,19.08.2022,10.0,9.0,,,,
,,,,,,,,3L1,2910598811 Barum NR52,1536646,365/80 R20,TRAILER,Non Firestone,New,06.03.2023,16.2,,,,,
,,,,,,,,3R1,2909461876,1536646,365/80 R20,TRAILER,Non Firestone,New,19.08.2022,11.0,9.0,,,,
,,,Trailer,D-AL130,TT013,,,,,,,,,New,,,,,,,
,,,,WL-JM631,1675,,,,,,,,,New,,,,,,,
,,,,WL-JM632,1676,30.08.2022,2724016,2L1,K7R274799,10852,"385/65 R22,5",DURT2,Bridgestone,New,30.08.2022,15.7,9.0,,,,
,,,,WL-JM648,1541,27.09.2022,2701560,1L1,B7T347742,10852,"385/65 R22,5",DURT2,Bridgestone,New,27.09.2022,15.7,9.0,,,,
,,,,WL-JM733,1724,,,,,,,,,New,,,,,,,
,,,,WL-JM799,1745,,,,,,,,,New,,,,,,,
,,,,WL-JM831,1750,,,,,,,,,New,,,,,,,
,,Hamburg,Rigid,WL-JM1353,1033,,,,,,,,,New,,,,,,,
,,,,WL-JM1362,1042,20.07.2022,2595212,1L1,ct177079,16944,"315/70 R22,5",DURS2,Bridgestone,New,20.07.2022,13.1,9.0,,,,
,,,,,,,,1R1,c7t177112,16944,"315/70 R22,5",DURS2,Bridgestone,New,20.07.2022,13.1,9.0,,,,
,,,,WL-JM1380,1055,16.05.2023,3125825,1L1,A7U364823,16944,"315/70 R22,5",DURS2,Bridgestone,New,16.05.2023,13.1,,,,,
,,,,,,,,1R1,A7U364835,16944,"315/70 R22,5",DURS2,Bridgestone,New,16.05.2023,13.1,,,,,
,,,,WL-JM1381,1056,,,,,,,,,New,,,,,,,
