Name des Standortes,Nummere des Standortes,Flotten Stadt,VehicleType_Name,Kennzeichen,Flotten Referenz,Letzte Job datum,Letzte Auftragsnummer,Position,Seriennummer ,IPC,Größe,Reifenmuster,Marken,New / Retreat,RTD gemessenes Datum,RTD1,MeasuredPressure,LastOdoMeterReading,,,
,,,,WL-JM167,1597,14.10.2022,2752007,3R1,keine Angabe,1534649,"385/65 R22,5",TRAILER,Non Firestone,New,14.10.2022,8.0,,,,,
,,,,WL-JM168,,14.07.2022,2572523,2R1,B2T151695,10852,"385/65 R22,5",DURT2,Bridgestone,New,14.07.2022,15.7,9.0,,,,
,,,,WL-JM169,1525,,,,,,,,,New,,,,,,,
,,,,WL-JM175,1642,,,,,,,,,New,,,,,,,
,,,,WL-JM178,1527,,,,,,,,,New,,,,,,,
,,,,WL-JM208,1539,,,,,,,,,New,,,,,,,
,,,,WL-JM217,1534,,,,,,,,,New,,,,,,,
,,,,WL-JM236,1623,,,,,,,,,New,,,,,,,
,,,,WL-JM275,1626,,,,,,,,,New,,,,,,,
,,,,WL-JM281,1546,,,,,,,,,New,,,,,,,
,,,,WL-JM292,1648,,,,,,,,,New,,,,,,,
,,,,WL-JM312,1639,,,,,,,,,New,,,,,,,
,,,,WL-JM355,1617,27.07.2022,2584784,2R1,J7T223577,10852,"385/65 R22,5",DURT2,Bridgestone,New,27.07.2022,15.7,9.0,,,,
,,,,WL-JM497,1531,12.08.2022,2697160,2R1,A7P132800,10852,"385/65 R22,5",DURT2,Bridgestone,New,12.08.2022,15.7,,,,,
,,,,WL-JM502,1653,,,,,,,,,New,,,,,,,
,,,,WL-JM514,1656,,,,,,,,,New,,,,,,,
,,,,WL-JM516,1532,,,,,,,,,New,,,,,,,
,,,,WL-JM517,,,,,,,,,,New,,,,,,,
,,,,WL-JM542,1659,27.03.2023,3015963,2R1,Conti 6153403823,1534861,"385/65 R22,5",TRAILER,Michelin,New,27.03.2023,22.0,,,,,
,,,,WL-JM544,1602,09.11.2022,2798498,1L1,G7T125933,10850,"385/55 R22,5",DURT2,Bridgestone,New,14.09.2022,15.7,,,,,
,,,,,,,,3L1,G7T475146,10850,"385/55 R22,5",DURT2,Bridgestone,New,09.11.2022,15.7,,,,,
,,,,,,,,3R1,G7T356863,10852,"385/65 R22,5",DURT2,Bridgestone,New,18.07.2022,15.7,,,,,
,,,,WL-JM549,1662,,,,,,,,,New,,,,,,,
,,,,WL-JM597,1668,,,,,,,,,New,,,,,,,
,,,,WL-JM609,1687,28.02.2023,2970645,3L1,Q2E202104,17982,"385/65 R22,5",R179,Bridgestone,New,28.02.2023,16.5,,,,,
,,,,WL-JM610,1688,,,,,,,,,New,,,,,,,
,,,,WL-JM630,1674,11.07.2022,2587801,1L1,6150455082,1563175,"385/65 R22,5",HT3,Continental,New,11.07.2022,13.0,9.0,,,,
,,,,,,,,1R1,9000727497,1563175,"385/65 R22,5",HT3,Continental,New,11.07.2022,8.0,9.0,,,,
,,,,,,,,2L1,9000575135,1563175,"385/65 R22,5",HT3,Continental,New,11.07.2022,12.0,9.0,,,,
,,,,,,,,2R1,6150987510,1563175,"385/65 R22,5",HT3,Continental,New,11.07.2022,16.0,9.0,,,,
,,,,,,,,3L1,9000765460,1563175,"385/65 R22,5",HT3,Continental,New,11.07.2022,14.0,9.0,,,,
,,,,,,,,3R1,G7T155363,10852,"385/65 R22,5",DURT2,Bridgestone,New,11.07.2022,15.7,9.0,,,,
,,,,WL-JM689,1701,17.04.2023,3049475,2R1,G7T475015,10850,"385/55 R22,5",DURT2,Bridgestone,New,17.04.2023,15.7,,,,,
,,,,WL-JM691,1702,,,,,,,,,New,,,,,,,
,,,,WL-JM694,1705,09.11.2022,2775677,3L1,B2T151446,10852,"385/65 R22,5",DURT2,Bridgestone,New,09.11.2022,15.7,,,,,
,,,,WL-JM695,1706,02.05.2023,3080161,1L1,B7T427050,10852,"385/65 R22,5",DURT2,Bridgestone,New,27.12.2022,15.7,,,,,
,,,,,,,,3L1,H7T155945,10852,"385/65 R22,5",DURT2,Bridgestone,New,27.12.2022,15.7,,,,,
,,,,,,,,3R1,C2S631004,10852,"385/65 R22,5",DURT2,Bridgestone,New,02.05.2023,15.7,,,,,
,,,,WL-JM698,1709,,,,,,,,,New,,,,,,,
,,,,WL-JM703,1712,23.05.2023,3125787,1L1,A2U630063,10852,"385/65 R22,5",DURT2,Bridgestone,New,05.04.2023,15.7,,,,,
,,,,,,,,2L1,A2U630070,10852,"385/65 R22,5",DURT2,Bridgestone,New,05.04.2023,15.7,,,,,
,,,,,,,,2R1,C2S630773,10852,"385/65 R22,5",DURT2,Bridgestone,New,17.03.2023,15.7,,,,,
,,,,,,,,3L1,G1S204219,17982,"385/65 R22,5",R179,Bridgestone,New,23.05.2023,16.5,,,,,
,,,,,,,,3R1,H7T155754,10852,"385/65 R22,5",DURT2,Bridgestone,New,09.11.2022,15.7,,,,,
,,,,WL-JM705,1714,,,,,,,,,New,,,,,,,
,,,,WL-JM708,1715,,,,,,,,,New,,,,,,,
,,,,WL-JM709,1716,,,,,,,,,New,,,,,,,
,,,,WL-JM714,1717,11.01.2023,2888485,3L1,F2T660825,10852,"385/65 R22,5",DURT2,Bridgestone,New,11.01.2023,15.7,,,,,
,,,,WL-JM721,1718,,,,,,,,,New,,,,,,,
,,,,WL-JM723,1719,,,,,,,,,New,,,,,,,
,,,,WL-JM727,1720,,,,,,,,,New,,,,,,,
,,,,WL-JM728,1721,,,,,,,,,New,,,,,,,
,,,,WL-JM729,1722,,,,,,,,,New,,,,,,,
,,,,WL-JM731,1723,,,,,,,,,New,,,,,,,
,,,,WL-JM735,1725,,,,,,,,,New,,,,,,,
,,,,WL-JM736,1726,,,,,,,,,New,,,,,,,
,,,,WL-JM746,1728,,,,,,,,,New,,,,,,,
,,,,WL-JM748,1730,,,,,,,,,New,,,,,,,
,,,,WL-JM769,1736,,,,,,,,,New,,,,,,,
,,,,WL-JM771,1737,,,,,,,,,New,,,,,,,
,,,,WL-JM774,1738,12.07.2022,2589172,1L1,M2S790262,10852,"385/65 R22,5",DURT2,Bridgestone,New,12.07.2022,15.7,,,,,
,,,,,,,,1R1,M2S780708,10852,"385/65 R22,5",DURT2,Bridgestone,New,12.07.2022,15.7,,,,,
,,,,WL-JM787,1741,08.09.2022,2662725,1R1,M2S180414,14029,"385/65 R22,5",R168+,Bridgestone,New,22.08.2022,16.8,9.0,,,,
,,,,,,,,2R1,M2S641234,14029,"385/65 R22,5",R168+,Bridgestone,New,08.09.2022,16.8,9.0,,,,
,,,,,,,,3L1,G2T471108,14029,"385/65 R22,5",R168+,Bridgestone,New,19.07.2022,16.8,9.5,,,,
,,,,WL-JM791,1742,14.02.2023,2951419,1L1,J7T258150,10852,"385/65 R22,5",DURT2,Bridgestone,New,12.08.2022,15.7,,,,,
,,,,,,,,2R1,M2S670343,10852,"385/65 R22,5",DURT2,Bridgestone,New,23.07.2022,11.2,9.0,,,,
,,,,,,,,3R1,B7T458456,10852,"385/65 R22,5",DURT2,Bridgestone,New,08.10.2022,15.7,,,,,
,,,,WL-JM792,1743,02.11.2022,2798529,3L1,H7T155781,10852,"385/65 R22,5",DURT2,Bridgestone,New,02.11.2022,15.7,,,,,
,,,,,,,,3R1,B7T427051,10852,"385/65 R22,5",DURT2,Bridgestone,New,06.09.2022,15.7,,,,,
,,,,WL-JM794,1744,27.12.2022,2951332,2L1,65003689,1534649,"385/65 R22,5",TRAILER,Non Firestone,New,27.12.2022,6.8,,,,,
,,,,,,,,2R1,A2T580736,10852,"385/65 R22,5",DURT2,Bridgestone,New,15.08.2022,15.7,9.0,,,,
,,,,WL-JM809,1746,,,,,,,,,New,,,,,,,
,,,,WL-JM810,1755,23.03.2023,3009710,2R1,K7S5454134,10852,"385/65 R22,5",DURT2,Bridgestone,New,23.03.2023,15.7,,,,,
,,,,WL-JM817,1758,,,,,,,,,New,,,,,,,
,,,,WL-JM821,1747,,,,,,,,,New,,,,,,,
,,,,WL-JM836,1751,,,,,,,,,New,,,,,,,
,,,,WL-JM837,,27.10.2022,2800966,3R1,H2T760967,10852,"385/65 R22,5",DURT2,Bridgestone,New,27.10.2022,15.7,9.0,,,,
,,,,WL-JM845,15002,,,,,,,,,New,,,,,,,
,,,,WL-JM854,15011,,,,,,,,,New,,,,,,,
,,,,WL-JM1026,1645,,,,,,,,,New,,,,,,,
