Key,row_number,date,axle_position,td,pressure,tire_size,brand,product_line,parts;;;;;;;;;;;
"ST-C6545,1354.0,2023-08-28,1TL,14.0,9.0,385/55R22.5,FULDA,ECOTONN,""['385/55R22.5', 'ECOTONN', '2', '160K158L', 'M+S']""";;;;;;;;;;;leave out, need to ask client
"ST-HS1732,1464.0,2023-04-25,3TR,17.6,9.0,385/65R22.5,DUNLOP,SP247,""['385/65R22.5', 'SP247', 'HL', '164K158L', '3PSF']""";;;;;;;;;;;take tires with tread depth 17,6 for 3 axle
"ST-HS1734,1487.0,2023-06-03,1TR,9.0,9.0,385/65R22.5,MICHELIN,X LINE ENERGY,""['385/65R22.5', '160K158L', 'X', 'LINE', 'ENERGY', 'T', 'VB']""";;;;;;;;;;;take tire SHI02515M for 1 axle
"ST-HS1737,1505.0,2023-09-09,3TR,14.0,9.0,385/65R22.5,PIRELLI,IT-T90,""['385/65R22.5', '160K158L', 'IT-T90']""";;;;;;;;;;;take tires with tread depth 14 for 3 axle
"ST-HS1834,1546.0,2023-08-26,1TR,2.0,8.7,385/65R22.5,MICHELIN,X MULTI T,""['385/65R22.5', '160K158L', 'X', 'MULTI', 'T', 'VM']""";;;;;;;;;;;take tire 7996532852 for 1 axle
"ST-HS1880,1558.0,2023-08-21,3TR,6.0,9.2,385/65R22.5,GOODYEAR,KMAX,""['385/65R22.5', 'KMAX', 'T', 'G2', 'HL', '164K158L', '3PSF']""";;;;;;;;;;;take tires with tread depth 14 for 3 axle
"ST-HS1881,1565.0,2023-09-01,3TR,13.0,9.0,385/65R22.5,PIRELLI,IT-T90,""['385/65R22.5', '160K158L', 'IT-T90']""";;;;;;;;;;;take tire JYT6513A for 3 axle right
"ST-HS1918,1624.0,2023-08-05,1TR,17.6,9.0,385/65R22.5,DUNLOP,SP247,""['385/65R22.5', 'SP247', 'HL', '164K158L', '3PSF']""";;;;;;;;;;;take tire 6016733312 for 1 axle right
"ST-HS1923,1650.0,2023-08-19,1TL,14.0,9.0,385/65R22.5,FULDA,REGIOTONN,""['385/65R22.5', 'REGIOTONN', '3', 'HL', '164K158L', '3PSF']""";;;;;;;;;;;take tire 799362698 for 1 axle left
"ST-HS1941,1717.0,2023-09-27,3TR,16.0,9.0,385/65R22.5,PIRELLI,IT-T90,""['385/65R22.5', '160K158L', 'IT-T90']""";;;;;;;;;;;take tires JYA9586F and JYT6883C
